hex_address,sim1,sim2,sim3,sim4,sim5,ave_max
871968240ffffff,1.0,0.0,1.0,1.0,0.0,0.6
871968241ffffff,1.0,1.0,1.0,3.0,1.0,1.4
871968244ffffff,1.0,1.0,1.0,0.3333333333333333,1.0,0.8666666666666668
871968245ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871968248ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871968249ffffff,1.0,2.0,2.0,2.0,2.0,1.8
87196824cffffff,1.0,1.0,1.0,1.0,1.0,1.0
87196824dffffff,2.0,2.0,1.0,4.0,2.0,2.2
871968263ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871968268ffffff,2.0,1.0,1.0,1.0,1.0,1.2
871968269ffffff,1.0,1.0,1.0,8.0,2.0,2.6
87196826affffff,1.0,1.0,1.0,1.0,1.0,1.0
87196826bffffff,3.0,2.0,3.0,7.0,5.0,4.0
87196826cffffff,1.0,1.0,0.0,1.0,1.0,0.8
87196826dffffff,3.0,2.0,1.0,2.0,1.0,1.8
87196826effffff,1.0,1.0,0.0,1.0,0.0,0.6
871969504ffffff,1.0,3.0,1.0,3.0,4.0,2.4
871969506ffffff,1.0,1.0,2.0,1.0,1.0,1.2
871969514ffffff,1.0,1.0,1.0,2.0,1.0,1.2
871969520ffffff,3.0,2.0,2.0,2.0,5.0,2.8
871969521ffffff,1.0,2.0,2.0,2.0,4.0,2.2
871969522ffffff,3.0,5.0,2.0,5.0,5.0,4.0
871969523ffffff,1.0,1.0,1.0,1.0,2.0,1.2
871969524ffffff,4.0,6.0,5.0,4.0,8.0,5.4
871969525ffffff,1.0,1.0,1.0,3.0,3.0,1.8
871969526ffffff,4.0,3.0,4.0,3.0,7.0,4.2
871969530ffffff,4.0,3.0,4.0,7.0,12.0,6.0
871969531ffffff,3.0,2.0,2.0,4.0,5.0,3.2
871969532ffffff,3.0,2.0,2.0,5.0,5.0,3.4
871969533ffffff,1.0,1.0,2.0,1.0,4.0,1.8
871969534ffffff,8.0,4.0,4.0,6.0,6.0,5.6
871969535ffffff,6.0,7.0,3.0,9.0,5.0,6.0
871969536ffffff,6.0,3.0,4.0,7.0,7.0,5.4
871969c81ffffff,0.0,1.0,1.0,0.0,1.0,0.6
871969c83ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c88ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c89ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c8affffff,3.0,1.0,1.0,3.0,4.0,2.4
871969c8bffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c8cffffff,0.0,1.0,1.0,1.0,0.0,0.6
871969c8dffffff,0.0,1.0,0.0,1.0,0.0,0.4
871969c8effffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c91ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c93ffffff,1.0,1.0,1.0,1.0,2.0,1.2
871969c98ffffff,3.0,4.0,2.0,2.0,3.0,2.8
871969c99ffffff,2.0,2.0,2.0,2.0,5.0,2.6
871969c9affffff,4.0,3.0,1.0,6.0,8.0,4.4
871969c9bffffff,16.0,4.0,5.0,8.0,6.0,7.8
871969c9cffffff,1.0,1.0,2.0,5.0,3.0,2.4
871969c9dffffff,2.0,2.0,2.0,4.0,3.0,2.6
871969c9effffff,1.0,1.0,1.0,2.0,3.0,1.6
871969cabffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969cd0ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871969cd2ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871969cd6ffffff,0.0,0.0,0.0,0.0,0.0,0.0
